month,precipitation_mm,hist_mean_mm,stdev_hist_mm
1971-01,60.38,84.9467,42.0869
1971-02,55.67,71.848,38.2315
1971-03,42.37,78.902,36.3833
1971-04,32.19,61.535,32.9998
1971-05,70.54,75.0977,34.8745
1971-06,117.16,81.7337,34.5557
1971-07,34.69,81.576,36.3886
1971-08,68.16,84.272,47.8555
1971-09,24.17,76.36,43.2947
1971-10,33.83,81.0067,37.7022
1971-11,94.07,78.221,24.6453
1971-12,28.15,91.061,37.3262
1972-01,49.12,84.9467,42.0869
1972-02,28.77,71.848,38.2315
1972-03,54.34,78.902,36.3833
1972-04,75.36,61.535,32.9998
1972-05,95.32,75.0977,34.8745
1972-06,58.3,81.7337,34.5557
1972-07,96.24,81.576,36.3886
1972-08,82.38,84.272,47.8555
1972-09,77.22,76.36,43.2947
1972-10,34.49,81.0067,37.7022
1972-11,82.21,78.221,24.6453
1972-12,26.56,91.061,37.3262
1973-01,33.25,84.9467,42.0869
1973-02,86.17,71.848,38.2315
1973-03,30.13,78.902,36.3833
1973-04,89.68,61.535,32.9998
1973-05,99.05,75.0977,34.8745
1973-06,35.53,81.7337,34.5557
1973-07,76.49,81.576,36.3886
1973-08,36.67,84.272,47.8555
1973-09,65.07,76.36,43.2947
1973-10,78.39,81.0067,37.7022
1973-11,87.77,78.221,24.6453
1973-12,88.47,91.061,37.3262
1974-01,64.94,84.9467,42.0869
1974-02,52.11,71.848,38.2315
1974-03,75.67,78.902,36.3833
1974-04,22.3,61.535,32.9998
1974-05,36.39,75.0977,34.8745
1974-06,76.57,81.7337,34.5557
1974-07,82.52,81.576,36.3886
1974-08,85.43,84.272,47.8555
1974-09,122.04,76.36,43.2947
1974-10,166.56,81.0067,37.7022
1974-11,122.79,78.221,24.6453
1974-12,132,91.061,37.3262
1975-01,72.73,84.9467,42.0869
1975-02,24.02,71.848,38.2315
1975-03,100.55,78.902,36.3833
1975-04,57.01,61.535,32.9998
1975-05,27.96,75.0977,34.8745
1975-06,58.02,81.7337,34.5557
1975-07,85.57,81.576,36.3886
1975-08,56.09,84.272,47.8555
1975-09,76.3,76.36,43.2947
1975-10,13.17,81.0067,37.7022
1975-11,92.84,78.221,24.6453
1975-12,32.63,91.061,37.3262
1976-01,95.27,84.9467,42.0869
1976-02,38.49,71.848,38.2315
1976-03,32.89,78.902,36.3833
1976-04,18.05,61.535,32.9998
1976-05,44.95,75.0977,34.8745
1976-06,12.32,81.7337,34.5557
1976-07,79.91,81.576,36.3886
1976-08,17.04,84.272,47.8555
1976-09,61.3,76.36,43.2947
1976-10,43.63,81.0067,37.7022
1976-11,102.57,78.221,24.6453
1976-12,44.22,91.061,37.3262
1977-01,69.93,84.9467,42.0869
1977-02,103.09,71.848,38.2315
1977-03,56.73,78.902,36.3833
1977-04,100.26,61.535,32.9998
1977-05,53.15,75.0977,34.8745
1977-06,97.98,81.7337,34.5557
1977-07,73.09,81.576,36.3886
1977-08,96.75,84.272,47.8555
1977-09,31.69,76.36,43.2947
1977-10,37.13,81.0067,37.7022
1977-11,131.28,78.221,24.6453
1977-12,68.12,91.061,37.3262
1978-01,58.87,84.9467,42.0869
1978-02,42.86,71.848,38.2315
1978-03,123.38,78.902,36.3833
1978-04,45.59,61.535,32.9998
1978-05,99.59,75.0977,34.8745
1978-06,76.41,81.7337,34.5557
1978-07,76.54,81.576,36.3886
1978-08,44.06,84.272,47.8555
1978-09,76.26,76.36,43.2947
1978-10,36.29,81.0067,37.7022
1978-11,22.65,78.221,24.6453
1978-12,117.25,91.061,37.3262
1979-01,59.34,84.9467,42.0869
1979-02,57.06,71.848,38.2315
1979-03,140.63,78.902,36.3833
1979-04,80,61.535,32.9998
1979-05,81.14,75.0977,34.8745
1979-06,52.91,81.7337,34.5557
1979-07,44.91,81.576,36.3886
1979-08,96.12,84.272,47.8555
1979-09,35.49,76.36,43.2947
1979-10,52.5,81.0067,37.7022
1979-11,109.23,78.221,24.6453
1979-12,144.01,91.061,37.3262
1980-01,54.84,84.9467,42.0869
1980-02,64.29,71.848,38.2315
1980-03,81.5,78.902,36.3833
1980-04,49.88,61.535,32.9998
1980-05,63.97,75.0977,34.8745
1980-06,99.71,81.7337,34.5557
1980-07,190.1,81.576,36.3886
1980-08,73.31,84.272,47.8555
1980-09,40.75,76.36,43.2947
1980-10,90.71,81.0067,37.7022
1980-11,61.24,78.221,24.6453
1980-12,101.76,91.061,37.3262
1981-01,124.24,84.9467,42.0869
1981-02,51.81,71.848,38.2315
1981-03,104.1,78.902,36.3833
1981-04,53.11,61.535,32.9998
1981-05,75.43,75.0977,34.8745
1981-06,148.76,81.7337,34.5557
1981-07,81.23,81.576,36.3886
1981-08,71.54,84.272,47.8555
1981-09,72.47,76.36,43.2947
